요양기관명,종별,시도,시군구,읍면동,주소,전화번호,홈페이지,개설일자,총의사수,피부과전문의수,좌표X,좌표Y,요양기호
홍인의원,의원,경기,가평군,청평면,"경기도 가평군 청평면 청평중앙로 37-2, (청평면)",031-585-8275,,34369,2,0,127.4188327,37.737606200000002,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQyIyQxIyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz
(주)루트로닉부속의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 소원로 219, 1층 102(일부)호 (행신동)",070-4714-6053,,43705,0,0,126.84759680000001,37.613281600000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDQjJDgz
365서울소아청소년과의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 화중로 66-0, (화정동, 롯데마트)",031-975-5056,,41243,1,0,126.83116579999999,37.632913199999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
고려정형외과의원,의원,경기,고양덕양구,고양동,"경기도 고양시 덕양구 읍내로6번길 1-8, 2,3,4층 (고양동)",031-969-3900,,42130,1,0,126.90256719999999,37.700903099999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz
고양복지의료생협 고양향동다시봄날의원,의원,경기,고양덕양구,,"경기도 고양시 덕양구 꽃마을로 68, 로데오프라자 4층 401~404호 (향동동)",02-3159-7761,,45539,1,0,126.89379959999999,37.6009472,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ5MiQzNjEyMjIjNTEjJDEjJDIjJDgz
고양연세의원,의원,경기,고양덕양구,고양동,"경기도 고양시 덕양구 푸른마을로 6, 304호,312호 (고양동, 고양 e PLAZA)",031-964-5078,,39155,1,0,126.90289079999999,37.708914300000004,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQwMyQyNjE0ODEjNjEjJDEjJDAjJDgz
굿모닝의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 화신로260번길 58, 비전프라자 604호 (화정동)",031-985-5030,,43986,1,0,126.83332299999999,37.633274,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ4OSQzNjEyMjIjNTEjJDEjJDIjJDgz
김앤유내과의원,의원,경기,고양덕양구,신원동,"경기도 고양시 덕양구 권율대로 900, S프라자 3층 (신원동)",02-381-3551,,42128,3,0,126.8907852,37.663455800000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNTEjJDEjJDYjJDgz
나눔가정의학과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 행신로143번길 72-1, (행신동)",031-938-9962,,38061,1,0,126.8313787,37.622651300000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz
내유가정의학과의원,의원,경기,고양덕양구,내유동,"경기도 고양시 덕양구 유산길 35, (내유동)",031-964-5033,,38785,1,0,126.8468074,37.7267431,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz
내유하나의원,의원,경기,고양덕양구,관산동,"경기도 고양시 덕양구 통일로 1060-4, 청담프라자 401호 (관산동)",031-967-9910,,44928,1,0,126.854072,37.709247599999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjEwMDIjNjEjJDEjJDQjJDgz
노블린의원,의원,경기,고양덕양구,,"경기도 고양시 덕양구 지축로 56, 성산타워 302호~305호호 (지축동)",02-381-5058,,44867,1,0,126.91432210000001,37.649783499999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz
능곡예인의원,의원,경기,고양덕양구,토당동,"경기도 고양시 덕양구 토당로 99, 2층 201~203호 (토당동)",031-971-5464,,38201,1,0,126.81735310000001,37.623953399999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQxMyQyNjEwMDIjNjEjJDEjJDgjJDgz
다시봄날의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 충장로 3, 3층 301~304호 (행신동)",031-8088-7577,,44732,1,0,126.83372610000001,37.613235400000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjNjEjJDEjJDQjJDgz
닥터우신경외과의원,의원,경기,고양덕양구,토당동,"경기도 고양시 덕양구 토당로 54, 충정회관 2층 (토당동)",031-973-3500,,43298,1,0,126.82042029999999,37.620755799999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDQjJDgz
달빛이비인후과의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 화중로 205, 화수빌딩 101호 (화정동)",031-994-8976,,43845,1,0,126.83376029999999,37.645324799999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
더나은내과의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 백양로 51, 네이버타운 604호 (화정동)",031-938-5392,,44683,1,0,126.8332872,37.630276500000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz
더퍼스트비뇨의학과의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 삼송로 190-5, 3층 일부호 (삼송동)",02-6958-7565,,45576,1,0,126.89489949999999,37.652982600000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz
더편한정형외과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 행신로 268, 4층 401호 (행신동, 애담메디칼타워)",031-938-9715,,42537,1,0,126.84476479999999,37.618985799999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQxMyQzNjEwMDIjNjEjJDEjJDAjJDgz
덕은365의원,의원,경기,고양덕양구,덕은동,"경기도 고양시 덕양구 으뜸로 138, 311~314호 (덕은동)",02-6953-4175,,45474,1,0,126.8712463,37.579946999999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz
덕은아이소아청소년과의원,의원,경기,고양덕양구,덕은동,"경기도 고양시 덕양구 으뜸로 130, 위프라임트윈타워 3층 347,348,349호 (덕은동)",02-3158-0501,,44859,1,0,126.8706296,37.579458299999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEwMDIjNTEjJDEjJDIjJDgz
도래울아이랑소아청소년과의원,의원,경기,고양덕양구,도내동,"경기도 고양시 덕양구 도래울로 52, 3층 301호 (도내동, 센터프라자)",031-966-2220,,41774,1,0,126.8694921,37.630374500000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjEyMjIjODEjJDEjJDYjJDgz
도래울정형외과의원,의원,경기,고양덕양구,도내동,"경기도 고양시 덕양구 도래울로 103, 대영프라자 501,502호 (도내동)",031-813-1179,,43098,1,0,126.8712499,37.634841199999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
동산연세소아청소년과의원,의원,경기,고양덕양구,동산동,"경기도 고양시 덕양구 동산2로 1, 203호 (동산동)",02-381-7534,,41485,1,0,126.8861704,37.644850099999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz
드림인삼송의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 세솔로 96, 2층 (삼송동, 성산빌딩)",02-383-0102,,41460,1,0,126.8880994,37.652510499999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNTEjJDEjJDYjJDgz
드림정형외과의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 호국로789번길 7, 2층 201, 202호 (주교동)",964-0594,https://blog.naver.com/osnara20,39856,1,0,126.8356903,37.6568428,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz
라온산부인과의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 동송로 61, 서연프라자 301호 (삼송동)",02-371-1471,,44757,1,0,126.8955335,37.652004699999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ3MiQyNjE4MzIjODEjJDEjJDIjJDgz
라인의원,의원,경기,고양덕양구,토당동,"경기도 고양시 덕양구 중앙로 639, (토당동)",031-974-9700,http://linebeauty.kr/xe/index.php,33340,1,0,126.8275131,37.627364300000004,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz
리즈힐의원,의원,경기,고양덕양구,원흥동,"경기도 고양시 덕양구 권율대로 672, 3호선 원흥역 봄오피스텔 414호, 415호, 416호 (원흥동)",031-994-0057,,45176,1,0,126.8741742,37.649865499999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz
맑은샘이비인후과의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 동세로 88, 301호 (삼송동, 오케이세솔프라자)",02-353-1475,,41683,1,0,126.8837453,37.6502208,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQwMyQyNjEwMDIjODEjJDEjJDYjJDgz
메디에스의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 화신로 273, 401호 (화정동, 명지프라자)",031-938-7300,,38565,1,0,126.8308466,37.630580500000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ4OSQzNjEwMDIjODEjJDEjJDIjJDgz
메이퓨어의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 화신로272번길 48, 유퍼스트빌딩 301~304호 (화정동)",031-978-9906,,42976,3,0,126.8320137,37.632941799999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz
멜로즈의원,의원,경기,고양덕양구,신원동,"경기도 고양시 덕양구 권율대로 886, 호평프라자 503호 (신원동)",02-6338-0344,,44979,1,0,126.88956450000001,37.662754800000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
미래내과의원,의원,경기,고양덕양구,내유동,"경기도 고양시 덕양구 유산길 22, 2층 (내유동)",031-964-2015,,40325,1,0,126.8454756,37.726160299999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz
미르비뇨의학과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 중앙로 442, 아성프라자 203, 204호 (행신동)",031-970-7575,,44251,1,0,126.846051,37.618235599999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQyIyQ3IyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz
미밸런스의원,의원,경기,고양덕양구,원흥동,"경기도 고양시 덕양구 권율대로 685, SIB타워 5층 501~505호 (원흥동)",031-962-7781,,43930,1,0,126.87405459999999,37.651202699999999,JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNTEjJDEjJDYjJDgz
미애로여성의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 중앙로 560, 301호 (행신동, 화성골드프라자)",031-970-0090,,40052,1,0,126.83537459999999,37.6240667,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQxMyQyNjEwMDIjNDEjJDEjJDgjJDgz
바른마디정형외과의원,의원,경기,고양덕양구,향동동,"경기도 고양시 덕양구 향기로 100, 베스트프라자 2층 (향동동)",02-3159-7582,,43979,1,0,126.8931956,37.598807499999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz
별가람연세이비인후과 의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 삼송로 88, 402호 (삼송동, 오성프라자)",02-381-7077,,42373,1,0,126.8840222,37.6507456,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjEwMDIjNzEjJDEjJDgjJDgz
봄소아청소년과의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 호국로 819, 1층 (주교동, 신도빌딩)",031-967-9696,,40217,1,0,126.8383549,37.6588596,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ4MiQyNjEyMjIjODEjJDEjJDYjJDgz
삼성노블의원,의원,경기,고양덕양구,신원동,"경기도 고양시 덕양구 권율대로 907, KN빌딩 5층 일부호 (신원동)",02-381-0313,,43846,1,0,126.8910557,37.664525699999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQxMyQ0NjE0ODEjODEjJDEjJDYjJDgz
삼성메디의원,의원,경기,고양덕양구,성사동,"경기도 고양시 덕양구 고양대로1384번길 7-5, 403,404,405호 (성사동, 서강프라자)",031-966-8275,,37442,1,0,126.8379094,37.653804200000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz
삼성에스더산부인과의원,의원,경기,고양덕양구,동산동,"경기도 고양시 덕양구 동송로 20, 삼송농산물종합유통센터 2층 일부호 (동산동)",02-381-8686,,44797,1,0,126.89880890000001,37.648683599999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz
삼성키즈소아청소년과의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 동세로 86, 3층 (삼송동)",02-388-1119,,41387,1,0,126.8838239,37.6500901,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEwMDIjODEjJDEjJDIjJDgz
삼송상쾌한이비인후과의원,의원,경기,고양덕양구,신원동,"경기도 고양시 덕양구 권율대로 886, 4층 1,2호 (신원동)",02-381-9136,,41732,1,0,126.88956450000001,37.662754800000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEyMjIjNzEjJDEjJDgjJDgz
삼송하나로정형외과의원,의원,경기,고양덕양구,동산동,"경기도 고양시 덕양구 동송로 20, 삼송농산물종합유통센터 2층 일부호 (동산동)",02-381-1575,,44797,1,0,126.8988801,37.648634800000004,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4MiQzNjEwMDIjODEjJDEjJDYjJDgz
새롬가정의학과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 중앙로 438, 202호 (행신동, 상업용지 F23아름터프라자)",031-938-7388,,40066,1,0,126.8467303,37.618001300000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ4OSQzNjE4MzIjODEjJDEjJDYjJDgz
서울미래내과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 중앙로 452, 201호 (행신동, 메디스타원)",031-978-8875,,39965,1,0,126.845218,37.6185446,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ4OSQyNjE0ODEjNjEjJDEjJDQjJDgz
서울베스트내과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 충장로 8, 로터스플레이스 2층 208~215호 (행신동)",972-7585,,44285,1,0,126.8345011,37.613526100000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz
서울삼성내과의원,의원,경기,고양덕양구,향동동,"경기도 고양시 덕양구 향기로 100, 베스트프라자 302호~304호 (향동동)",02-6949-2778,,43979,2,0,126.8931956,37.598807499999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjE0ODEjNDEjJDEjJDQjJDgz
서울속내과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 행신로 266, 월드타워 203,301,302,303호 (행신동)",031-970-0097,,40989,4,0,126.8446623,37.618763299999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ2MiQ0NjEwMDIjODEjJDEjJDYjJDgz
서울신경외과의원,의원,경기,고양덕양구,고양동,"경기도 고양시 덕양구 혜음로 34, 3층 (고양동, 경덕빌딩)",031-962-9875,,35102,1,0,126.9022665,37.703532199999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ4MiQzNjE0ODEjNTEjJDEjJDIjJDgz
서울에스(S)가정의학과의원,의원,경기,고양덕양구,도내동,"경기도 고양시 덕양구 도래울로 34, 2층 (도내동)",031-965-7779,,45119,1,0,126.8685399,37.628998799999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz
서울연합내과의원,의원,경기,고양덕양구,고양동,"경기도 고양시 덕양구 보광로 2, 2층 (고양동)",962-7754,,40301,1,0,126.9012439,37.717156899999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ5OSQyNjE0ODEjNDEjJDEjJDQjJDgz
서울의원,의원,경기,고양덕양구,관산동,"경기도 고양시 덕양구 통일로 774, 2, 3, 지하층 (관산동)",031-964-1300,,41428,5,0,126.864546,37.688041800000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjE4MzIjNjEjJDEjJDQjJDgz
서울한빛의원,의원,경기,고양덕양구,관산동,"경기도 고양시 덕양구 통일로 1060-4, 청담프라자 201, 202호 (관산동)",031-963-0921,,44664,1,0,126.854072,37.709247599999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz
석승엽정형외과의원,의원,경기,고양덕양구,고양동,"경기도 고양시 덕양구 읍내로 10, 2층,5층 (고양동, 현대빌딩)",031-969-8275,,38471,2,0,126.90201279999999,37.700672099999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz
선정형외과의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 행신로 151, 2층 (행신동, 양일빌딩)",031-970-2223,,45426,1,0,126.83202009999999,37.619431400000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ5MiQzNjE4MzIjNzEjJDEjJDgjJDgz
성모튼튼365재활의학과의원,의원,경기,고양덕양구,신원동,"경기도 고양시 덕양구 권율대로 885, 203~205호 (신원동)",02-381-6789,,45357,3,0,126.88909959999999,37.6632812,JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz
성보의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 원당로125번길 12, 201호 (주교동, 원릉빌딩)",031-966-7535,,40760,1,0,126.8385964,37.663129599999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz
세란가정의원,의원,경기,고양덕양구,행신동,"경기도 고양시 덕양구 충경로 96, 소만빌딩 301호 (행신동)",031-972-0543,,44615,1,0,126.8403419,37.615280800000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz
송현숙산부인과의원,의원,경기,고양덕양구,삼송동,"경기도 고양시 덕양구 삼송로 88, 오성프라자 202호 (삼송동)",02-381-9115,,43690,1,0,126.8840222,37.6507456,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz
스타필의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 호국로789번길 6, 3층 (주교동, 중앙빌딩)",031-965-2255,http://www.starfeel.kr,40526,1,0,126.8361094,37.656991400000003,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ5OSQzNjE4MzIjNjEjJDEjJDgjJDgz
