우선순위,결함수,요양기관명,시도,시군구,전화,홈페이지,방침페이지(여기서 확인),문의폼,후크,이메일,확인일,비고
2,4,아이라인성형외과의원,서울,강남구,02-540-8666,http://www.ilines.co.kr/,http://ilines.co.kr/privacy,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2019 — 방치 인상,ilineps@naver.com,2026-08-06,방침페이지
2,4,앤플러스의원,서울,강남구,511-6300,http://www.nplusclinic.com/,http://nplusclinic.com/page/policy.php?pageIndex=910150,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2019 — 방치 인상,master@nplusclinic.com,2026-08-06,대표계정 형태 — 확인 권장 / 방침페이지
2,4,역삼이창훈이비인후과의원,서울,강남구,02-564-5647,http://yeoksamlee-ent.co.kr/,http://yeoksamlee-ent.co.kr/#self,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2012 — 방치 인상,albertyi@daum.net,2026-08-06,푸터/본문(mailto)
2,4,오로라의원,서울,강남구,1577-2968,http://www.auroraclinic.co.kr/,http://www.auroraclinic.co.kr/default/#;,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2022 — 방치 인상,auroramc@naver.com,2026-08-06,푸터/본문
2,4,탐의원,서울,강남구,3444-5975,http://www.tamclinic.co.kr/,http://www.tamclinic.co.kr/common/html/privacy.html,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,tamgun@naver.com,2026-08-06,방침페이지
2,4,류마내과의원,서울,강동구,474-5450,http://www.rheumanet.com/,http://www.rheumanet.com/front/html/privacy,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2016 — 방치 인상,cti3453@naver.com,2026-08-06,방침페이지
2,4,리앤안의원,서울,강동구,02-482-6622,http://www.leeahnclinic.co.kr/,http://www.leeahnclinic.co.kr/common/html/privacy.html,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2019 — 방치 인상,,2026-08-06,이메일 미발견
2,4,김의원,서울,관악구,02-855-7541,http://dr-kiment.co.kr/,http://dr-kiment.co.kr/memberjoins/personInfoPolicy,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2016 — 방치 인상,,2026-08-06,이메일 미발견
2,4,미래아이내과의원,서울,서대문구,02-309-7582,http://www.miraeimed.com/,http://www.miraeimed.com/popup_personalinfo.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2012 — 방치 인상,,2026-08-06,이메일 미발견
2,4,아이러브피부과의원,서울,서초구,02-553-1060,http://www.iloveskin.kr/,http://www.iloveskin.kr/bbs/content.php?co_id=privacy,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2015 — 방치 인상,yellowti@hanmail.net,2026-08-06,방침페이지
2,4,연세크라운비뇨의학과의원,서울,서초구,02-588-2119,http://www.crownclinic.co.kr/,http://www.crownclinic.co.kr/bbs/content.php?co_id=privacy,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2021 — 방치 인상,,2026-08-06,이메일 미발견
2,4,플로체여성의원,서울,서초구,02-514-1454,http://www.flocewoman.com/index.asp,http://www.flocewoman.com/member/privacy.php,6,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2007 — 방치 인상,,2026-08-06,이메일 미발견
2,4,사랑아이여성의원,서울,송파구,02-419-7501,http://www.sarangi.co.kr/,http://www.sarangi.co.kr/member/privacy.php,3,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,,2026-08-06,이메일 미발견
2,4,서아송피부과의원,서울,송파구,02-425-3133,http://www.sasclinic.com/,http://www.sasclinic.com/content/privacy,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2022 — 방치 인상,06febr@naver.com,2026-08-06,방침페이지
2,4,서울삼성여성의원,서울,송파구,02-2202-0230,http://www.drkoo.co.kr/,http://www.drkoo.co.kr/member/privacy.php?PHPSESSID=f74237457dc2ff8ffb24ff9a816ba1ab,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2020 — 방치 인상,drkoocokr@naver.com,2026-08-06,푸터/본문
2,4,클럽미즈라미체의원,서울,송파구,02-422-9888,http://www.lamiche.co.kr/,http://www.lamiche.co.kr/page/agreement.php,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2021 — 방치 인상,,2026-08-06,이메일 미발견
2,4,다미산부인과의원,서울,영등포구,761-3072,http://www.damiwoman.com/,http://www.damiwoman.com/html/member/privacy.html,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2016 — 방치 인상,damiclinic@naver.com,2026-08-06,방침페이지
2,4,최윤영산부인과의원,서울,은평구,02-382-0220,http://www.herdoctor.co.kr/,http://www.herdoctor.co.kr/#,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2006 — 방치 인상,angelcyy@naver.com,2026-08-06,푸터/본문(mailto)
3,3,라인의원,경기,고양덕양구,031-974-9700,http://linebeauty.kr/xe/index.php,http://linebeauty.kr/xe/protection,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,강경민정형외과의원,경기,광명시,02-2616-2119,http://www.kangclinic.co.kr/,http://www.kangclinic.co.kr/etc/privacy.html,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,tajonglee@hanmail.net,2026-08-06,방침페이지(mailto)
3,3,새하얀 피부과의원,경기,광명시,02-2684-2552,http://www.whitskin.com/index.php,http://www.whitskin.com/2021/member/member01.php,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,,2026-08-06,이메일 미발견
3,3,코코이비인후과의원,경기,광명시,02-2611-0790,http://www.cocoent.com/,http://www.cocoent.com/notice/notice_v.asp?srno=1862421,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,조형도내과의원,경기,구리시,031-565-9053,http://www.chdkidney.co.kr/index.asp,http://www.chdkidney.co.kr/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,산본외과의원,경기,군포시,031-397-8130,http://www.sanbons.co.kr/,http://www.sanbons.co.kr/etc/privacy.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,sanbons@hanmail.net,2026-08-06,푸터/본문
3,3,권오윤내과의원,경기,남양주시,031-571-8745,http://www.koy570.co.kr/,http://www.koy570.co.kr/#,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,미앤느여성의원,경기,남양주시,031-576-2840,http://www.miennewoman.co.kr/,http://www.miennewoman.co.kr/bbs/register.php,0,HTTPS 미설정(http로만 접속) / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2016 — 방치 인상,,2026-08-06,이메일 미발견
3,3,해성산부인과의원,경기,동두천시,031-868-0868,http://www.hsclinic.net/,https://hsclinic.net:53415/kwa-private_info,4,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2017 — 방치 인상,happytaegyo@naver.com,2026-08-06,푸터/본문
3,3,베스탑비뇨기과의원,경기,성남분당구,031-782-4333,http://www.bestopclinic.com/,http://www.bestopclinic.com/?mode=privacy,2,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 푸터 카피라이트 2019 — 방치 인상,,2026-08-06,이메일 미발견
3,3,분당예쁨주의쁨의원,경기,성남분당구,031-703-3010,https://www.ppeum10.com/new/main/main.php?,https://www.ppeum10.com/member/privacy.php,2,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,,2026-08-06,과다검출 19건(체인 지점 목록 추정) — 사람 확인 필요: ppeum000@naver.com bdppeum55@naver.com beomgyeclinic@naver.com ppeumbf@naver.com ppeumkku@naver.com
3,3,탑비뇨기과의원,경기,성남분당구,031-781-7575,http://www.topuro.co.kr/index.asp,http://www.topuro.co.kr/index.asp#,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,펄피부과의원,경기,성남분당구,031-703-3733,http://www.pearlclinic.co.kr/,https://www.pearlclinic.co.kr/?mid=privacy&pn=30&sn=1,0,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2015 — 방치 인상,,2026-08-06,이메일 미발견
3,3,루미나르피부과의원,경기,성남수정구,031-755-8277,http://www.luminar.co.kr/,http://www.luminar.co.kr/html/clause/privacy_Policy.html,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 푸터 카피라이트 2019 — 방치 인상,luminar777@naver.com,2026-08-06,하위페이지
3,3,연세피부사랑의원,경기,성남수정구,031-733-3433,http://www.bodynskin.kr/,http://bodynskin.kr/bbs/content.php?co_id=privacy,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,skinlovedoc@naver.com,2026-08-06,방침페이지
3,3,엘에스정형외과의원,경기,성남중원구,031-740-9119,http://www.lsclinic.co.kr/,http://www.lsclinic.co.kr/member/privacy.html,1,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 푸터 카피라이트 2017 — 방치 인상,,2026-08-06,이메일 미발견
3,3,지인의원,경기,성남중원구,031-723-8555,http://jiinplasticsurgery.com/,http://jiinplasticsurgery.com/?act=info.privacy,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,kkmhappyx3@naver.com,2026-08-06,방침페이지
3,3,베스탑비뇨기과의원,경기,수원영통구,031-213-0035,http://www.bestopclinic.com/,http://www.bestopclinic.com/?mode=privacy,2,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 푸터 카피라이트 2019 — 방치 인상,,2026-08-06,이메일 미발견
3,3,강남신경과의원,경기,수원팔달구,031-251-3111,http://kangnamclinic.kr/,http://kangnamclinic.kr/notice/notice_v.asp?srno=1862421&MenuNumber=4&PageNumber=1&SubPageNumber=0,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,조은내과의원,경기,시흥시,031-434-9700,http://www.goodmedical.net/index.asp,http://www.goodmedical.net/notice/notice_v.asp?srno=1862421,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,성모가정의원,경기,안성시,031-654-7511,http://doctorfm.co.kr/index.asp,http://doctorfm.co.kr/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,박가정의원,경기,안양동안구,031-423-9776,http://www.parkfmclinic.co.kr/index.asp,http://www.parkfmclinic.co.kr/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,웰비뇨기과의원,경기,안양만안구,031-463-5005,http://www.stone75.com/,http://www.stone75.com/#,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,강남성형외과의원,경기,오산시,031-377-7575,http://www.osknps.co.kr/,http://www.osknps.co.kr/?page_id=4153,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 푸터 카피라이트 2014 — 방치 인상,help@osknps.co.kr,2026-08-06,대표계정 형태 — 확인 권장 / 푸터/본문
3,3,속편한내과의원,경기,파주시,031-943-7582,http://www.sok7582.com/,http://www.sok7582.com/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,바로그의원,경기,평택시,031-652-5670,https://barogclinic.com/branch/br32/subindex.php,https://barogclinic.com/bbs/content.php?co_id=privacy,0,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2020 — 방치 인상,,2026-08-06,이메일 미발견
3,3,토마토미비뇨기과의원,경기,하남시,031-796-7582,http://www.tomatoclinic.co.kr/,http://www.tomatoclinic.co.kr/notice/notice_v.asp?srno=1862421&MenuNumber=6&PageNumber=1&SubPageNumber=0,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,닥터베이직의원,서울,강남구,02-3448-0090,http://www.drbasic.co.kr/,https://www.drbasic.co.kr/privacy.php,1,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,drbasicclininc@gmail.com,2026-08-06,푸터/본문(mailto)
3,3,닥터웰니스의원,서울,강남구,02-3447-3101,http://www.drwellness.co.kr/,http://www.drwellness.co.kr/?mode=privacy,3,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,dr_wellness@naver.com,2026-08-06,푸터/본문
3,3,리드미피부과의원,서울,강남구,02-567-9357,http://www.menmi.co.kr/,http://www.menmi.co.kr/default/member/private.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,cs@menmi.co.kr,2026-08-06,대표계정 형태 — 확인 권장 / 방침페이지
3,3,리본성형외과의원,서울,강남구,02-543-3355,http://www.rebornps.com/,http://www.rebornps.com/0112.php,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,shinhb@gmail.com ; rebornps@naver.com ; wodud9031@naver.com,2026-08-06,복수 발견 — 하나 선택 필요 / 방침페이지
3,3,린의원,서울,강남구,02-3448-3003,http://www.lyhnclinic.com/,http://www.lyhnclinic.com/index.php/member/agreement/57,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,미큐의원,서울,강남구,313-4566,http://www.miqclinic.com/,http://miqclinic.com/protection,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,pkwangin@naver.com,2026-08-06,푸터/본문
3,3,셀리에의원,서울,강남구,02-6358-0123,https://cellierclinic.com/,https://cellierclinic43764.imweb.me/76,3,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,cellier.clinic@gmail.com,2026-08-06,푸터/본문
3,3,신논현톡스앤필의원,서울,강남구,02-6951-4882,https://www.toxnfill9.com/,https://www.toxnfill9.com/acceptPrivacy.php,2,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2021 — 방치 인상,,2026-08-06,공용/제작사 의심 제외: help@triupcorp.com bbg@bbgnetworks.com / 방침페이지
3,3,압구정바로보기안과의원,서울,강남구,02-548-3133,http://www.barobogi.com/,http://www.barobogi.com/member/privacy.php3,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,barobogi8275@hanmail.net,2026-08-06,방침페이지
3,3,압구정페이스라인성형외과의원,서울,강남구,02-541-8668,http://www.face-line.co.kr/,https://www.face-line.co.kr/kor/contents.php?code=01011007,5,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2015 — 방치 인상,faceline_s@naver.com,2026-08-06,방침페이지
3,3,에버그린피부과의원,서울,강남구,02-2187-7377,http://www.egskin.co.kr/,http://www.egskin.co.kr/inc/popup_privacy.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,egskin@hanmail.net,2026-08-06,방침페이지
3,3,연세라인업의원,서울,강남구,02-553-8070,http://www.xn--oi2bp8p5vd3em9e.kr/,http://www.xn--oi2bp8p5vd3em9e.kr/other/privacy.php,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,psykjin8070@hanmail.net,2026-08-06,방침페이지
3,3,올핏의원,서울,강남구,02-582-5592,http://www.allfit.kr/,http://www.allfit.kr/sub/sub0901.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,유니크성형외과의원,서울,강남구,02-561-2255,http://www.uniqueps.co.kr/,https://www.uniqueps.co.kr/class_Utils/personal.html,4,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2013 — 방치 인상,,2026-08-06,이메일 미발견
3,3,이혜미산부인과의원,서울,강남구,508-4693,http://www.hemi.co.kr/,http://www.hemi.co.kr/bbs/content.php?co_id=privacy,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,doctor@hemi.co.kr,2026-08-06,방침페이지(mailto)
3,3,퓨어피부과의원,서울,강남구,02-3443-1222,http://www.pureclinic.kr/,http://pureclinic.kr/priv,1,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,pureskindoc@naver.com,2026-08-06,방침페이지
3,3,우리맑은의원,서울,강북구,02-987-7711,http://www.wooriskin.com/,http://www.wooriskin.com/notice/notice_v.asp?srno=1862421&MenuNumber=5&PageNumber=1&SubPageNumber=0,4,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,하맥외과의원,서울,강북구,02-985-2332,http://www.harmac.co.kr/,http://www.harmac.co.kr/#,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,우리정형외과의원,서울,강서구,02-2644-0114,http://www.woorios.co.kr/,http://www.woorios.co.kr/notice/notice_v.asp?srno=1862421&MenuNumber=6&PageNumber=1&SubPageNumber=0,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,최비뇨의학과의원,서울,강서구,02-2659-9477,http://www.choiclinic.com/,http://www.choiclinic.com/#,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,그랜트피부과의원,서울,광진구,02-2039-1477,http://www.grantskin.com/,https://www.grantskin.com/bbs/content.php?co_id=privacy,0,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2021 — 방치 인상,grantskin14@gmail.com,2026-08-06,푸터/본문
3,3,아름생가정의학과의원,서울,구로구,02-2060-7621,http://www.ungman.kr/index.asp,http://www.ungman.kr/notice/notice_v.asp?srno=451392,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,고은미즈의원,서울,노원구,02-3392-3338,http://www.gomiz.co.kr/,http://www.gomiz.co.kr/index.php?menu_code1=membership&menu_code2=private,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,gomiz03@nate.com,2026-08-06,푸터/본문
3,3,서울삼성내과의원,서울,노원구,,http://www.samsunghealth.net/,http://www.samsunghealth.net/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,연세참이비인후과의원,서울,동대문구,969-2500,http://www.yscharm.com/,http://www.yscharm.com/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,혜성플러스의원,서울,동대문구,02-2244-6356,http://www.hsplus-im.co.kr/,http://www.hsplus-im.co.kr/notice/notice_v.asp?srno=1862421,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,,2026-08-06,이메일 미발견
3,3,노현주산부인과의원,서울,동작구,02-6278-7575,http://www.womenclinic.kr/,http://www.womenclinic.kr/new2013/jmmember/rule.php?lv=3,0,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 푸터 카피라이트 2013 — 방치 인상,,2026-08-06,이메일 미발견
