등급,요양기관명,시도,시군구,전화,홈페이지,후크,문의폼,카카오채널,방침페이지,HTTP,점검일
1,미소가인피부과의원,서울,서초구,586-5100,http://www.misogain.co.kr/intro/bangbae/map.jsp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,신세계안피부과의원,서울,서초구,02-2138-0263,https://www.dranbeauty.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,연세가정의학과의원,서울,서초구,02-3463-7114,http://www.mydr1234.co.kr/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,워나성형외과의원,서울,서초구,02-533-8001,http://www.wannaps.co.kr/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,유영호피부과의원,서울,서초구,02-518-8021,http://www.scalingskin.co.kr/main.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,아이브랩의원,서울,성동구,070-4755-9779,https://ivelab.kr/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,갤러리아피부과의원,서울,성북구,02-941-2313,https://galleriaskinsb.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,에스메디센터내과외과의원,서울,성북구,02-6925-0700,http://www.s-medicenter.com/intro.asp,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,이소진의원,서울,성북구,02-909-8877,http://www.leesojin.co.kr/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,센스피부과의원,서울,송파구,02-414-0058,http://www.senseclinic.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,엠버여성의원,서울,송파구,02-422-0333,http://www.yeonclinic.com/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,유비아여성의원,서울,송파구,02-414-9922,http://js.roeni.net/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,이석호내과의원,서울,송파구,02-420-7582,http://www.med1004.net/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,목동미소가인피부과의원,서울,양천구,02-2643-9900,http://www.misogain.co.kr/intro/mokdong/index.jsp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,목동서울정형외과의원,서울,양천구,02-6095-1234,https://xn--vb0b43kq8fz6g97g7kan5fh18b.com/,SSL 오류(ERR_SSL_PROTOCOL_ERROR) — 사이트 진입 차단,,,,,2026-08-06
1,WE(더블유이)의원,서울,영등포구,02-518-0045,http://www.we-clinic.co.kr/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,언제든내과의원,서울,영등포구,02-6951-2777,https://xn--vb0bn4este14vdibkxad3b.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,양전호내과의원,서울,은평구,02-385-2600,http://jeonh9.wix.com/livernet,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,늘푸른비뇨기과의원,서울,종로구,02-2272-5588,http://www.egclinic.co.kr/new_main/main.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,더클리어의원,서울,종로구,734-8875,http://www.jnd7.com/index.php?control=html&mg=sub01&p_id=010206_2&sca=%EB%B0%98%ED%8F%AC%EC%A0%90,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,더이다의원,서울,중구,02-533-6695,https://www.idaclinic.io/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,에비아의원,서울,중구,02-776-7779,https://eviaclinic.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,제이디의원,서울,중구,02-6677-8660,http://www.truebeauty.co.kr/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,성모마음정신건강의학과의원,서울,중랑구,02-972-4300,http://www.sungmom.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
2,임내과의원,경기,가평군,031-581-0675,http://www.drimh.com/,HTTPS 미설정(http로만 접속) / viewport 없음 — 모바일 미대응,0,,http://www.drimh.com/notice/notice_v.asp?srno=1862421,200,2026-08-06
2,드림정형외과의원,경기,고양덕양구,964-0594,https://blog.naver.com/osnara20,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,라인의원,경기,고양덕양구,031-974-9700,http://linebeauty.kr/xe/index.php,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,O,http://linebeauty.kr/xe/protection,200,2026-08-06
2,스타필의원,경기,고양덕양구,031-965-2255,http://www.starfeel.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 개인정보처리방침 없음,1,,,200,2026-08-06
2,하얀나라피부과의원,경기,고양덕양구,031-972-4333,http://www.white365.co.kr/,HTTPS 미설정(http로만 접속) / 개인정보처리방침 없음,1,,,200,2026-08-06
2,강의원,경기,고양일산동구,031-919-2568,http://www.drkang4u.com/,HTTPS 미설정(http로만 접속) / 개인정보처리방침 없음 / 푸터 카피라이트 2019 — 방치 인상,1,O,,200,2026-08-06
2,김영숙피부과의원,경기,고양일산동구,031-901-3133,http://www.skinkim.net/,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 푸터 카피라이트 2022 — 방치 인상,0,,"javascript:SITE.openModalMenu('m20220617db84c7e1c1205', 'm202206177048d4efd0e19');",200,2026-08-06
2,미소가인피부과의원,경기,고양일산동구,031-901-7603,http://www.misogain.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨,0,,http://www.misogain.co.kr/hq/polcy.do;jsessionid=2DEAA5C5CAC82CE6A4BFD77D29C73F74?useStplatId=P,200,2026-08-06
2,산타클로스의원,경기,고양일산동구,031-905-7591,http://www.santaskin.co.kr/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,0,O,https://www.santaskin.co.kr/bbs/content.php?co_id=privacy,200,2026-08-06
2,일산고운세상피부과의원,경기,고양일산동구,031-932-8275,http://www.beautyforever.co.kr/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨,3,,https://www.beautyforever.co.kr/etc/privacy.php,200,2026-08-06
2,일산탑내과의원,경기,고양일산동구,031-905-7575,http://ilsantop.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,O,,200,2026-08-06
2,김혜숙산부인과의원,경기,고양일산서구,031-915-9243,http://www.ladydoctor.kr/,HTTPS 미설정(http로만 접속) / 개인정보처리방침 없음 / 푸터 카피라이트 2018 — 방치 인상,0,O,,200,2026-08-06
2,레이퀸의원,경기,고양일산서구,031-918-1234,http://www.laqueen.co.kr/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,민트소아청소년과의원,경기,고양일산서구,916-1190,http://blog.naver.com/mintclinic,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,박세호여성외과의원,경기,고양일산서구,031-911-1135,http://www.yspsh.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,javascript:;,200,2026-08-06
2,순정성형외과의원,경기,고양일산서구,031-913-0075,http://www.soonjeong.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,예지안의원,경기,고양일산서구,031-925-4824,http://www.yejian.co.kr/,HTTPS 미설정(http로만 접속),0,O,http://www.yejian.co.kr/shop_info/privacy.htm,200,2026-08-06
2,일산차앤박피부과의원,경기,고양일산서구,031-911-7571,http://www.cnpskin.com/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,2,O,https://www.cnpskin.com/pc/cnp/terms/privacy-notice.html,200,2026-08-06
2,클린업피부과의원,경기,고양일산서구,031-921-1877,http://www.upskin.co.kr/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음 / 푸터 카피라이트 2020 — 방치 인상,12,,,200,2026-08-06
2,하나정형외과의원,경기,고양일산서구,031-918-5252,http://www.ilsanhana.com/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 개인정보처리방침 없음,0,O,,200,2026-08-06
2,하얀나라김피부과의원,경기,고양일산서구,031-917-7588,http://www.laser2u.com/,HTTPS 미설정(http로만 접속) / 개인정보처리방침 없음,1,,,200,2026-08-06
2,한사랑피부과의원,경기,고양일산서구,031-918-3290,http://www.pibucenter.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,1,,http://www.pibucenter.co.kr/notice/notice_v.asp?srno=1862421,200,2026-08-06
2,닥터클로버의원,경기,과천시,02-3679-4698,https://drcloverclinic.com/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨,0,O,https://drcloverclinic.com/?mode=privacy,200,2026-08-06
2,유앤아이의원,경기,과천시,02-6954-7233,https://www.gcuni114.co.kr/staff/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,0,O,https://www.gcuni114.co.kr/info/,200,2026-08-06
2,강경민정형외과의원,경기,광명시,02-2616-2119,http://www.kangclinic.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,http://www.kangclinic.co.kr/etc/privacy.html,200,2026-08-06
2,광명속편한내과의원,경기,광명시,02-2060-1088,http://www.sok88.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,javascript:;,200,2026-08-06
2,노블클래식의원,경기,광명시,898-7582,http://www.nobleclassic.com/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,0,,https://nobleclassic.com/?privacy=terms&tabIdx=0,200,2026-08-06
2,미소가인 피부과의원,경기,광명시,2613-9600,http://blog.naver.com/dr_misogain,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,미엘피부과의원,경기,광명시,897-0100,http://www.mielskin.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,0,O,javascript:privacy();,200,2026-08-06
2,별이비인후과의원,경기,광명시,02-898-3651,http://www.star1004.net/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨,1,,http://www.star1004.net/?mode=privacy,200,2026-08-06
2,삼성닥터스원비뇨기과의원,경기,광명시,2682-5555,http://www.samsungdoctors.com/,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생,1,,http://www.samsungdoctors.com/#,200,2026-08-06
2,새하얀 피부과의원,경기,광명시,02-2684-2552,http://www.whitskin.com/index.php,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,1,,http://www.whitskin.com/2021/member/member01.php,200,2026-08-06
2,서울연합내과의원,경기,광명시,02-2615-8100,http://symedical.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,1,,,200,2026-08-06
2,애플산부인과의원,경기,광명시,02-6746-1000,https://applewoman.co.kr/gc/place/place.php,개인정보처리방침 없음 / 푸터 카피라이트 2020 — 방치 인상,0,O,,200,2026-08-06
2,연세항외과의원,경기,광명시,02-807-2345,http://www.yshemo.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,윤정형외과의원,경기,광명시,02-2683-6500,http://www.younos.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생,0,,javascript:OpenMemberPrivate();,200,2026-08-06
2,차피부과의원,경기,광명시,02-2681-4441,http://www.skinok.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,코코이비인후과의원,경기,광명시,02-2611-0790,http://www.cocoent.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,2,,http://www.cocoent.com/notice/notice_v.asp?srno=1862421,200,2026-08-06
2,광주제일내과의원,경기,광주시,031-763-2601,http://www.e-gooddoc.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,javascript:;,200,2026-08-06
2,삼성맑은비뇨기과의원,경기,광주시,031-766-0360,http://spure-clinic.com/,HTTPS 미설정(http로만 접속),0,O,http://spure-clinic.com/?mode=privacy,200,2026-08-06
2,오포세란의원,경기,광주시,031-767-8275,http://www.opo1.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,javascript:;,200,2026-08-06
2,유앤아이의원,경기,광주시,031-797-6020,https://www.ggjuni114.co.kr/,모바일 가로스크롤 발생,0,O,https://www.ggjuni114.co.kr/info/,200,2026-08-06
2,이영창내과의원,경기,광주시,031-761-0525,http://www.lycclinic.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,javascript:;,200,2026-08-06
2,루이피부과의원,경기,구리시,031-553-7522,http://www.louiskin.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,백외과의원,경기,구리시,031-555-8920,http://www.baekhospital.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,2,,,200,2026-08-06
2,에스필의원,경기,구리시,514-7700,http://www.s-feelclinic.co.kr/,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생,0,O,http://www.s-feelclinic.co.kr/?mode=privacy,200,2026-08-06
2,이기쁨내과의원,경기,구리시,031-566-7533,http://www.joymedi.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,,2026-08-06
2,조형도내과의원,경기,구리시,031-565-9053,http://www.chdkidney.co.kr/index.asp,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,http://www.chdkidney.co.kr/notice/notice_v.asp?srno=1862421,200,2026-08-06
2,건강드림내과영상의학과의원,경기,군포시,031-340-7897,http://www.healthdream75.com/,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생,1,,http://www.healthdream75.com/#,200,2026-08-06
2,두리이비인후과의원,경기,군포시,031-397-7577,http://www.cjdoori.com/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,산본맑은신경과의원,경기,군포시,031-396-3323,https://sbclearneuro.imweb.me/,개인정보처리방침 없음,0,,,200,2026-08-06
2,산본외과의원,경기,군포시,031-397-8130,http://www.sanbons.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,http://www.sanbons.co.kr/etc/privacy.php,200,2026-08-06
2,아름다운피부과의원,경기,군포시,031-395-7600,http://www.areumskin.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,예지미의원,경기,군포시,031-395-2300,http://blog.naver.com/sanbonyjm,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,오라클피부과의원,경기,군포시,031-398-1931,http://www.dfskin.co.kr/,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생,0,O,http://www.dfskin.co.kr/shop_info/privacy.htm,200,2026-08-06
2,김포해밝은의원,경기,김포시,031-981-0672,http://www.urosun.co.kr/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,0,,,200,2026-08-06
2,봄소아청소년과의원,경기,김포시,031-987-7502,http://www.bomped.com/,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응,0,,javascript:OpenMemberPrivate();,200,2026-08-06
2,블리비의원,경기,김포시,1833-7886,http://www.velyb.kr/,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,2,,https://www.velyb.kr/member/privacy.php,200,2026-08-06
