요양기관명,종별,시도,시군구,읍면동,주소,전화번호,홈페이지,개설일자,총의사수,피부과전문의수,좌표X,좌표Y,요양기호
이원규내과의원,의원,경기,고양일산서구,일산동,"경기도 고양시 일산서구 고봉로 291, 303호 (일산동, 에이스스타디움)",031-975-0300,http://www.wk0300.co.kr,40004,1,0,126.77727419999999,37.685297499999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz
일산이지함피부과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1413, 403호 (주엽동, 동영빌딩)",031-916-5300,http://www.ljh.co.kr/sub01_05_06_02.php,39721,1,1,126.7628048,37.669064599999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz
일산차앤박피부과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1441, 5층 (주엽동, 하나은행빌딩)",031-911-7571,http://www.cnpskin.com,41410,1,1,126.76002680000001,37.6702887,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQxMyQyNjE0ODEjODEjJDEjJDYjJDgz
체크인내과의원,의원,경기,고양일산서구,대화동,"경기도 고양시 일산서구 킨텍스로 240, 3층 301, 302, 303호 (대화동, 킨텍스 꿈에그린)",031-911-7176,http://www.jeongclinic.kr,43991,1,0,126.75044990000001,37.665901400000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjEwMDIjNTEjJDEjJDYjJDgz
클린업피부과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1420, 5층 (주엽동)",031-921-1877,http://www.upskin.co.kr,39157,1,1,126.7627026,37.669919100000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQyIyQzIyQwMCQyNjE4MzIjNTEjJDEjJDIjJDgz
하나정형외과의원,의원,경기,고양일산서구,대화동,"경기도 고양시 일산서구 대산로 222, 신영프라자 2층, 3층 일부 (대화동)",031-918-5252,http://www.ilsanhana.com,37872,1,0,126.7542416,37.678901799999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQwMyQzNjEyMjIjNjEjJDEjJDAjJDgz
하얀나라김피부과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 일산로 576, 204,205호 (일산동, 대성프라자)",031-917-7588,www.laser2u.com/,38117,1,1,126.76450560000001,37.679510999999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNDEjJDEjJDQjJDgz
한사랑피부과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1416, 402호 (주엽동, 한사랑빌딩)",031-918-3290,http://www.pibucenter.co.kr,35410,1,1,126.76299040000001,37.669813699999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDQjJDgz
닥터클로버의원,의원,경기,과천시,별양동,"경기도 과천시 별양상가3로 8, 힐스테이트 과천청사역 304, 305, 306호 (별양동)",02-3679-4698,https://drcloverclinic.com,46008,1,0,126.9906739,37.426107100000003,JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQxMyQyNjE4MzIjODEjJDEjJDYjJDgz
유앤아이의원,의원,경기,과천시,갈현동,"경기도 과천시 과천대로 111, 렉서 201~209호 (갈현동)",02-6954-7233,https://www.gcuni114.co.kr/staff/,45883,4,0,126.9807026,37.4126689,JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjODEjJDEjJDYjJDgz
조은피부과의원,의원,경기,과천시,별양동,"경기도 과천시 별양상가3로 5, 유니온빌딩 2층 202호, 3층 303호 (별양동)",02-503-3118,www.joeunskin.co.kr/,31527,2,1,126.9911532,37.426659299999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjODEjJDEjJDYjJDgz
강경민정형외과의원,의원,경기,광명시,철산동,"경기도 광명시 오리로 865, 신철산빌딩 5층 일부 (철산동)",02-2616-2119,www.kangclinic.co.kr/,39850,1,0,126.86582749999999,37.475255900000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz
광명속편한내과의원,의원,경기,광명시,광명동,"경기도 광명시 광명로 926, 2~3층 (광명동)",02-2060-1088,http://www.sok88.kr/,40606,3,0,126.85563980000001,37.481368699999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz
광명탑내과의원,의원,경기,광명시,하안동,"경기도 광명시 범안로 1060, 남전빌딩 2층 (하안동)",02-899-8275,https://gmtop.co.kr,45460,2,0,126.880662,37.462604300000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz
노블클래식의원,의원,경기,광명시,소하동,"경기도 광명시 금하로 464, 4층 407-408호 (소하동, 메이저리치안)",898-7582,http://www.nobleclassic.com,40591,2,0,126.8840403,37.448454699999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQzNjE0ODEjODEjJDEjJDYjJDgz
미소가인 피부과의원,의원,경기,광명시,광명동,"경기도 광명시 광명로 906, 4층 (광명동, 현대아이타워)",2613-9600,http://blog.naver.com/dr_misogain,40861,1,1,126.85489459999999,37.479736699999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz
미엘피부과의원,의원,경기,광명시,하안동,"경기도 광명시 범안로 1047, 우덕빌딩 6,7층 일부호 (하안동)",897-0100,http://www.mielskin.co.kr/,40655,3,1,126.87905189999999,37.4625433,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ5IyQwMCQ0NjEwMDIjNjEjJDEjJDgjJDgz
별이비인후과의원,의원,경기,광명시,하안동,"경기도 광명시 오리로 801, 가상가동 4층 401호 (하안동, e편한세상센트레빌아파트)",02-898-3651,http://www.star1004.net,40228,2,0,126.86746050000001,37.468623899999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz
비쥬의원,의원,경기,광명시,광명동,"경기도 광명시 광명로 906, 현대아이타워 8층 (광명동)",02-6414-3151,http://soonpoong.3458.co.kr,44013,1,0,126.85489459999999,37.479736699999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEyMjIjNTEjJDEjJDIjJDgz
삼성닥터스원비뇨기과의원,의원,경기,광명시,광명동,"경기도 광명시 오리로 960, 2층 (광명동)",2682-5555,http://www.samsungdoctors.com/,38756,1,0,126.8565792,37.478999000000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3MiQyNjE0ODEjNjEjJDEjJDgjJDgz
새하얀 피부과의원,의원,경기,광명시,철산동,"경기도 광명시 오리로 865, 명지(철산)빌딩 4층 (철산동)",02-2684-2552,http://www.whitskin.com/index.php,40318,3,3,126.86582749999999,37.475255900000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz
서울연합내과의원,의원,경기,광명시,철산동,"경기도 광명시 철산로 15, 웅진빌딩 3층 3-2,4,5호 (철산동)",02-2615-8100,http://symedical.kr,40213,2,0,126.8677139,37.476457600000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz
소예피부과의원,의원,경기,광명시,소하동,"경기도 광명시 금하로 458, 웅신아트 309,401,402호 (소하동)",02-897-0867,http://www.soye.co.kr,41222,2,2,126.8833202,37.448377999999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjNTEjJDEjJDIjJDgz
애플산부인과의원,의원,경기,광명시,철산동,"경기도 광명시 철산로 36, 양정타워 6층 (철산동)",02-6746-1000,https://applewoman.co.kr/gc/place/place.php,45896,2,0,126.8701092,37.476312700000001,JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ5OSQyNjE0ODEjNTEjJDEjJDYjJDgz
연세항외과의원,의원,경기,광명시,하안동,"경기도 광명시 범안로 1041, 5층 (하안동, 삼성빌딩)",02-807-2345,http://www.yshemo.co.kr/,37161,1,0,126.8784852,37.462240999999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQyIyQxIyQwMCQyNjEyMjIjNTEjJDEjJDYjJDgz
윤정형외과의원,의원,경기,광명시,광명동,"경기도 광명시 오리로 971, 2층 (광명동)",02-2683-6500,www.younos.kr/,39066,1,0,126.8552086,37.478912100000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNDEjJDEjJDQjJDgz
이피부과의원,의원,경기,광명시,광명동,"경기도 광명시 오리로 955, 2층 (광명동)",02-2684-7981,http://,30474,1,1,126.8569444,37.478496800000002,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz
차피부과의원,의원,경기,광명시,철산동,"경기도 광명시 철산로30번길 9, 3층 306호 (철산동, 광명프라자)",02-2681-4441,http://www.skinok.co.kr,31897,1,1,126.8701724,37.475631700000001,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz
코코이비인후과의원,의원,경기,광명시,철산동,"경기도 광명시 디지털로 25, 2층 201호 (철산동, 청덕빌딩)",02-2611-0790,http://www.cocoent.com/,39877,1,0,126.8701994,37.474092300000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQwMyQzNjE0ODEjNjEjJDEjJDgjJDgz
톤즈의원 광명점,의원,경기,광명시,철산동,"경기도 광명시 디지털로 19, 7층 (철산동)",02-6956-6848,https://tonesclinic.com/gwangmyeong?lang=en,45765,3,0,126.86968830000001,37.474037799999998,JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjODEjJDEjJDIjJDgz
곤지암내과의원,의원,경기,광주시,곤지암읍,"경기도 광주시 곤지암읍 곤지암로 54, (곤지암읍)",031-769-8276,http://www.gmedical.co.kr/,36094,2,0,127.34073859999999,37.3498254,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNzEjJDEjJDgjJDgz
곤지암성모의원,의원,경기,광주시,곤지암읍,"경기도 광주시 곤지암읍 경충대로 577, (곤지암읍)",031-763-6553,www.gonjiamdr.co.kr/,34414,3,0,127.34466500000001,37.349254299999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQxMyQzNjE0ODEjNDEjJDEjJDgjJDgz
광주제일내과의원,의원,경기,광주시,경안동,"경기도 광주시 중앙로 101, 3층 (경안동)",031-763-2601,http://www.e-gooddoc.com,36290,1,0,127.2584122,37.408795099999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQyNjE4MzIjNDEjJDEjJDgjJDgz
삼성맑은비뇨기과의원,의원,경기,광주시,역동,"경기도 광주시 중앙로 95-1, (역동,희망빌딩(2층))",031-766-0360,http://spure-clinic.com,40165,1,0,127.25885479999999,37.408171699999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz
수비뇨기과의원,의원,경기,광주시,곤지암읍,"경기도 광주시 곤지암읍 곤지암로 42, (곤지암읍)",031-798-7582,http://www.mantop.co.kr,42370,1,0,127.3422989,37.349811299999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz
아이웰빙의원,의원,경기,광주시,중대동,"경기도 광주시 고불로 44, (중대동)",031-797-0306,http://www.iwbclinic.com/index.asp,38367,1,0,127.2330353,37.393563800000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz
오포세란의원,의원,경기,광주시,양벌동,"경기도 광주시 양벌로 332, (양벌동)",031-767-8275,http://www.opo1.com/,36278,1,0,127.2456682,37.3701443,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQzNjE0ODEjNDEjJDEjJDQjJDgz
유로미비뇨기과의원,의원,경기,광주시,역동,"경기도 광주시 중앙로 95-3, 301호 (역동)",031-798-3570,http://www.uromi.co.kr/,37981,1,0,127.2585792,37.408078099999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQwMyQ0NjEwMDIjODEjJDEjJDYjJDgz
유앤아이의원,의원,경기,광주시,경안동,"경기도 광주시 광주대로 30, 광주종합터미널 2층 2145, 2146호 (경안동)",031-797-6020,https://www.ggjuni114.co.kr/,46038,4,0,127.26126290000001,37.409615299999999,JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjNzEjJDEjJDgjJDgz
이영창내과의원,의원,경기,광주시,태전동,"경기도 광주시 태봉로 51, 3,4층 (태전동, 성원프라자)",031-761-0525,www.lycclinic.co.kr/,37221,3,0,127.22967149999999,37.388762200000002,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjE0ODEjNjEjJDEjJDQjJDgz
크리스탈의원,의원,경기,광주시,경안동,"경기도 광주시 경안로 3, (경안동,광명빌딩 2층)",031-761-8400,http://www.crystalclinic.co.kr/,40491,1,0,127.26027860000001,37.409980699999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz
톡스앤미의원,의원,경기,광주시,경안동,"경기도 광주시 중앙로 101, 4층 403호 (경안동, 클리닉빌딩)",031-764-0819,http://www.squeeze.or.kr/,42990,1,0,127.2584122,37.408795099999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQxMyQ0NjE0ODEjNzEjJDEjJDgjJDgz
루이피부과의원,의원,경기,구리시,수택동,"경기도 구리시 장자대로 72, 204호 (수택동, 미림프라자)",031-553-7522,http://www.louiskin.com,40290,1,1,127.1384755,37.587266999999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz
민소아청소년과의원,의원,경기,구리시,갈매동,"경기도 구리시 갈매순환로 7, 에이스프라자 2층 2호 (갈매동)",031-572-0110,http://www.ysbon.co.kr/,43207,1,0,127.1117332,37.6259722,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQxMyQzNjE0ODEjODEjJDEjJDIjJDgz
백외과의원,의원,경기,구리시,인창동,"경기도 구리시 경춘로 253, 304,306호 (인창동)",031-555-8920,http://www.baekhospital.com,36955,1,0,127.14303150000001,37.602230499999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz
